,id,kanji,kana,hiragana,level,haskanji
579,579,アクセサリー,アクセサリー,あくせさりー,n4,False
580,580,浅い,あさい,あさい,n4,True
581,581,味,あじ,あじ,n4,True
582,582,アジア,アジア,あじあ,n4,False
583,583,遊び,あそび,あそび,n4,True
584,584,あっ,あっ,あっ,n4,False
585,585,集まる,あつまる,あつまる,n4,True
586,586,集める,あつめる,あつめる,n4,True
587,587,アナウンサー,アナウンサー,あなうんさー,n4,False
588,588,阿弗利加,アフリカ,あふりか,n4,True
589,589,亜米利加,アメリカ,あめりか,n4,True
590,590,謝る,あやまる,あやまる,n4,True
591,591,アルコール,アルコール,あるこーる,n4,False
592,592,アルバイト,アルバイト,あるばいと,n4,False
593,593,安心,あんしん,あんしん,n4,True
594,594,安全,あんぜん,あんぜん,n4,True
595,595,あんな,あんな,あんな,n4,False
596,596,以下,いか,いか,n4,True
597,597,以外,いがい,いがい,n4,True
598,598,医学,いがく,いがく,n4,True
599,599,生きる,いきる,いきる,n4,True
600,600,意見,いけん,いけん,n4,True
601,601,石,いし,いし,n4,True
602,602,苛める,いじめる,いじめる,n4,True
603,603,以上,いじょう,いじょう,n4,True
604,604,急ぐ,いそぐ,いそぐ,n4,True
605,605,致す,いたす,いたす,n4,True
606,606,一度,いちど,いちど,n4,True
607,607,一生懸命,いっしょうけんめい,いっしょうけんめい,n4,True
608,608,一杯,いっぱい,いっぱい,n4,True
609,609,糸,いと,いと,n4,True
610,610,以内,いない,いない,n4,True
611,611,田舎,いなか,いなか,n4,True
612,612,祈る,いのる,いのる,n4,True
613,613,いらっしゃる,いらっしゃる,いらっしゃる,n4,False
614,614,植える,うえる,うえる,n4,True
615,615,受付,うけつけ,うけつけ,n4,True
616,616,受ける,うける,うける,n4,True
617,617,動く,うごく,うごく,n4,True
618,618,内,うち,うち,n4,True
619,619,打つ,うつ,うつ,n4,True
620,620,美しい,うつくしい,うつくしい,n4,True
621,621,写す,うつす,うつす,n4,True
622,622,移る,うつる,うつる,n4,True
623,623,腕,うで,うで,n4,True
624,624,裏,うら,うら,n4,True
625,625,売り場,うりば,うりば,n4,True
626,626,うん,うん,うん,n4,False
627,627,運転手,うんてんしゅ,うんてんしゅ,n4,True
628,628,エスカレーター,エスカレーター,えすかれーたー,n4,False
629,629,枝,えだ,えだ,n4,True
